Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position
806.366146	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.369479	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.372813	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.376146	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.379479	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.382813	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.386146	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.389479	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.392813	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.396146	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.399479	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.402813	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.406146	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.409479	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.412813	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.416146	0.580014	0.353182	-0.855002	278.846558	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.419479	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.422813	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.426146	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.429479	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.432813	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.436146	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.439479	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.442813	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.446146	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.449479	0.561265	0.371109	0.023203	286.704346	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.452813	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.456146	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.459479	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.462813	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.466146	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.469479	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.472813	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.476146	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.479479	0.534624	0.392758	0.406113	286.720703	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.482813	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.486146	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.489479	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.492813	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.496146	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.499479	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.502813	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.506146	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.509479	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.512813	0.505440	0.414658	2.911901	277.879700	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.516146	0.477512	0.433734	4.370252	273.967163	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
